,Номер заявки,Балл,Результат на финале,Результат на отборе,Статус,Класс
64,№ 1009758,80,80,100,Победитель,11
65,№ 1009764,30,30,90,Призер,11
66,№ 1009802,85,85,85,Призер,11
67,№ 1009942,65,65,100,Победитель,11
68,№ 1010149,55,55,90,Призер,11
69,№ 1010213,55,55,100,Победитель,11
70,№ 1010281,70,70,100,Победитель,11
71,№ 1010306,70,70,100,Победитель,11
72,№ 1010356,10,10,100,Победитель,11
73,№ 1010760,10,10,100,Победитель,11
74,№ 1010828,35,35,100,Победитель,11
75,№ 1010867,65,65,100,Победитель,11
76,№ 1011157,50,50,90,Призер,11
77,№ 1011317,65,65,85,Призер,10
78,№ 1011346,60,60,85,Призер,11
79,№ 1011564,20,20,90,Призер,11
80,№ 1011623,2,2,80,Призер,11
81,№ 1011750,25,25,100,Победитель,11
82,№ 1011859,70,70,100,Победитель,11
83,№ 1011927,70,70,85,Призер,11
84,№ 1012735,65,65,100,Победитель,11
85,№ 1012832,55,55,100,Победитель,11
86,№ 1012870,75,75,90,Призер,11
87,№ 1013356,30,30,85,Призер,10
88,№ 1013899,40,40,100,Победитель,10
89,№ 1013925,55,55,85,Призер,11
90,№ 1014396,55,55,85,Призер,11
91,№ 1014499,15,15,100,Победитель,11
92,№ 1014644,60,60,100,Победитель,11
93,№ 1014960,35,35,100,Победитель,11
94,№ 1015040,45,45,85,Призер,11
95,№ 1015062,65,65,90,Призер,11
96,№ 1015221,5,5,100,Победитель,10
97,№ 1015425,30,30,85,Призер,10
98,№ 1015539,60,60,75,Призер,10
99,№ 1015627,25,25,80,Призер,10
100,№ 1015727,15,15,80,Призер,11
101,№ 1016208,55,55,100,Победитель,11
102,№ 1016535,35,35,100,Победитель,11
103,№ 1016580,20,20,80,Призер,11
104,№ 1016583,25,25,100,Победитель,11
105,№ 1016759,45,45,90,Призер,11
106,№ 1016827,75,75,90,Призер,11
107,№ 1016848,60,60,90,Призер,11
108,№ 1016928,10,10,100,Победитель,9
109,№ 1017240,90,90,100,Победитель,11
110,№ 1017348,40,40,100,Победитель,11
111,№ 1017500,85,85,80,Призер,9
112,№ 1018658,85,85,100,Победитель,11
113,№ 1018736,60,60,100,Победитель,11
114,№ 1018875,25,25,100,Победитель,11
115,№ 1018921,70,70,85,Призер,11
116,№ 1019015,70,70,100,Победитель,11
117,№ 1019102,10,10,90,Призер,11
118,№ 1019347,70,70,100,Победитель,11
119,№ 1019479,70,70,100,Победитель,11
120,№ 1019670,65,65,85,Призер,10
121,№ 1020103,35,35,85,Призер,11
122,№ 1020119,10,10,85,Призер,11
123,№ 1020459,45,45,100,Победитель,10
124,№ 1020476,5,5,100,Победитель,11
125,№ 1020606,95,95,90,Призер,11
126,№ 1020636,15,15,75,Призер,10
127,№ 1020706,90,90,80,Призер,11
128,№ 1020768,50,50,75,Призер,10
129,№ 1020897,75,75,90,Призер,11
130,№ 1020900,100,100,75,Призер,10
131,№ 1021832,60,60,85,Призер,10
132,№ 1022575,20,20,100,Победитель,11
133,№ 1022668,2,2,80,Призер,11
134,№ 1022937,70,70,75,Призер,10
135,№ 1022958,100,100,100,Победитель,11
136,№ 1023075,50,50,100,Победитель,11
137,№ 1023192,55,55,100,Победитель,11
138,№ 1023518,55,55,100,Победитель,11
139,№ 1023524,35,35,100,Победитель,11
140,№ 1023600,30,30,100,Победитель,11
141,№ 1023637,35,35,85,Призер,10
142,№ 1023818,25,25,100,Победитель,10
143,№ 1023898,70,70,100,Победитель,11
144,№ 1024993,25,25,85,Призер,11
145,№ 1025028,95,95,100,Победитель,11
146,№ 1025226,35,35,100,Победитель,11
147,№ 1025343,70,70,80,Призер,11
148,№ 1025652,25,25,100,Победитель,10
149,№ 1025698,35,35,85,Призер,10
150,№ 1025795,65,65,100,Победитель,11
151,№ 1025802,60,60,100,Победитель,11
152,№ 1025875,50,50,100,Победитель,11
153,№ 1025986,45,45,90,Призер,11
154,№ 1026280,35,35,100,Победитель,11
155,№ 1026680,60,60,100,Победитель,11
156,№ 1026818,50,50,90,Призер,11
157,№ 1027460,100,100,75,Призер,10
158,№ 1027504,30,30,85,Призер,11
159,№ 1028166,50,50,100,Победитель,11
160,№ 1028230,45,45,100,Победитель,11
161,№ 1028291,2,2,100,Победитель,11
162,№ 1028307,25,25,85,Призер,11
163,№ 1028393,50,50,90,Призер,11
164,№ 1028400,60,60,100,Победитель,11
165,№ 1028409,65,65,90,Призер,11
166,№ 1028645,45,45,90,Призер,10
167,№ 1028694,20,20,100,Победитель,11
168,№ 1028743,45,45,100,Победитель,11
169,№ 1029142,70,70,100,Победитель,11
170,№ 1029144,90,90,100,Победитель,10
171,№ 1029295,20,20,75,Призер,10
172,№ 1029332,45,45,85,Призер,10
173,№ 1029579,65,65,100,Победитель,11
174,№ 1030162,45,45,85,Призер,10
175,№ 1030234,40,40,100,Победитель,11
176,№ 1030568,20,20,100,Победитель,11
177,№ 1030882,30,30,75,Призер,10
178,№ 1030897,80,80,100,Победитель,11
179,№ 1031476,20,20,100,Победитель,11
180,№ 1031811,60,60,100,Победитель,11
181,№ 1031826,80,80,100,Победитель,11
182,№ 1032067,55,55,100,Победитель,11
183,№ 1032399,2,2,100,Победитель,11
184,№ 1032402,60,60,100,Победитель,11
185,№ 1032424,60,60,85,Призер,11
186,№ 1032724,65,65,100,Победитель,11
187,№ 1032968,70,70,100,Победитель,10
188,№ 1033270,65,65,80,Призер,11
189,№ 1033450,75,75,100,Победитель,11
190,№ 1033657,70,70,100,Победитель,11
191,№ 1033838,25,25,100,Победитель,10
192,№ 1033895,35,35,100,Победитель,11
193,№ 1034013,2,2,90,Призер,11
194,№ 1034483,45,45,100,Победитель,11
195,№ 1034598,30,30,100,Победитель,11
196,№ 1034696,30,30,80,Призер,11
197,№ 1035519,35,35,75,Призер,10
198,№ 1035576,45,45,90,Призер,11
199,№ 1035761,80,80,100,Победитель,11
200,№ 1035787,55,55,85,Призер,10
201,№ 1035857,25,25,100,Победитель,11
202,№ 1036031,30,30,100,Победитель,11
203,№ 1036397,60,60,100,Победитель,11
204,№ 1036956,55,55,85,Призер,11
205,№ 1037059,15,15,85,Призер,10
206,№ 1037375,70,70,85,Призер,11
207,№ 1037546,15,15,90,Призер,11
208,№ 1037667,80,80,100,Победитель,11
209,№ 1038143,15,15,100,Победитель,11
210,№ 1038484,45,45,90,Призер,10
211,№ 1038558,40,40,100,Победитель,11
212,№ 1038646,15,15,90,Призер,11
213,№ 1038720,20,20,85,Призер,11
214,№ 1038764,30,30,100,Победитель,11
215,№ 1038876,35,35,80,Призер,11
216,№ 1039049,55,55,100,Победитель,11
217,№ 1039160,2,2,100,Победитель,11
218,№ 1039370,30,30,100,Победитель,11
219,№ 1039405,55,55,80,Призер,10
220,№ 1039585,70,70,85,Призер,10
221,№ 1039791,20,20,100,Победитель,11
222,№ 1040025,70,70,100,Победитель,11
223,№ 1040550,15,15,100,Победитель,11
224,№ 1040614,30,30,90,Призер,10
225,№ 1040825,20,20,100,Победитель,11
226,№ 1040908,30,30,90,Призер,11
227,№ 1041111,80,80,85,Призер,10
228,№ 1041193,50,50,85,Призер,11
229,№ 1041254,10,10,80,Призер,10
230,№ 1041809,40,40,100,Победитель,11
231,№ 1042281,25,25,100,Победитель,11
232,№ 1042438,25,25,85,Призер,11
233,№ 1042617,65,65,100,Победитель,11
234,№ 1042779,45,45,100,Победитель,11
235,№ 1042841,5,5,85,Призер,11
236,№ 1042877,70,70,100,Победитель,11
237,№ 1042955,55,55,100,Победитель,11
238,№ 1042992,85,85,80,Призер,10
239,№ 1043127,30,30,100,Победитель,11
240,№ 1043447,35,35,75,Призер,10
241,№ 1043507,100,100,90,Призер,11
242,№ 1043508,45,45,85,Призер,11
243,№ 1043675,80,80,100,Победитель,11
244,№ 1043825,95,95,100,Победитель,11
